attraction,attraction_type,address,lat,lon,Description
Hummingbird Nest Ranch,Venue,"2940 Keuhner Drive, Santa Suzana, CA 93063",34.286488,-118.654163,Amanda & Javi's Wedding Venue!
Holiday Inn Express Simi Valley,Hotel,"2550 Erringer Rd, Simi Valley, CA 93065",34.281019,-118.760723,Guest Hotel Option
Best Western Posada Royale Hotel & Suites,Hotel,"1775 Madera Rd, Simi Valley, CA 93065",34.269492,-118.797191,Guest Hotel Option (shuttle provided)
Chica’s Tacos,Restaurant (Food),"728 S Olive St, Los Angeles, CA 90014",34.045921,-118.256112,Trendy and colorful taco shop with freshly made aguas frescas and some of the best fish tacos in Los Angeles.
Grand Central Market ,Restaurant (Food),"633 W 5th St, Los Angeles, CA 90071",34.051329,-118.254363,"Large and vibrant market with a variety of food options; located close to Walt Disney Concert Hall, Museum of Contemporary Art, and Grand Park."
Blu Jam Café,Restaurant (Food),"541 S Spring St #110, Los Angeles, CA 90013",34.046872,-118.250759,Popular brunch spot with AMAZING French toast. Arrive early if dining on a weekend – there’s always a wait (but it’s worth it!).
Farmer’s Market at The Grove ,Restaurant (Food),"6333 W 3rd St, Los Angeles, CA 90036",34.072253,-118.36021,"Open air market with almost every type of food option, located at The Grove, an upscale outdoor shopping mall and popular LA landmark."
Tacos Por Favor,Restaurant (Food),"1406 Olympic Blvd, Santa Monica, CA 90404",34.019901,-118.480308,Javi & Amanda's favorite hole-in-the-wall post-beach taco shop with a HUGE menu including lots of Mexican options.
Tacos Por Favor,Restaurant (Food),"826 Hampton Dr, Venice, CA 90291",33.993532,-118.473371,Javi & Amanda's favorite hole-in-the-wall post-beach taco shop with a HUGE menu including lots of Mexican options.
Tacos Por Favor,Restaurant (Food),"11901 W Olympic Blvd, Los Angeles, CA 90064",34.03322,-118.452849,Javi & Amanda's favorite hole-in-the-wall post-beach taco shop with a HUGE menu including lots of Mexican options.
El Chato ,Restaurant (Food),"5300 W Olympic Blvd, Los Angeles, CA 90036",34.057272,-118.346173,"A favorite LA taco truck that’s only open after 9:00pm, but worth the trip for cheap and authentic street tacos."
Porto’s,Restaurant (Food),"3614 W Magnolia Blvd, Burbank, CA 91505",34.168396,-118.346645,"Large Cuban café with salads, sandwiches, coffee, and baked goods."
Porto’s,Restaurant (Food),"315 N Brand Blvd, Glendale, CA 91203",34.150597,-118.255494,"Large Cuban café with salads, sandwiches, coffee, and baked goods."
Jeni’s Splendid Ice Creams,Restaurant (Food),"540 Rose Ave, Venice, CA 90291",33.998562,-118.472854,Our favorite gourmet ice cream spot! Make sure you enjoy some samples before ordering!
